numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
2,6.0,77.36,35,43,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,PASCO,Selva,Secano,Venta,Sin ventas,Secano
7,2.45,15.04,30,50,False,False,True,False,False,False,False,Secundaria completa,Hombre,HUANUCO,Selva,Secano,Venta,Consumidor final,Gravedad
3,1.5,0.0,26,34,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,TACNA,Costa,No especificado,Venta,Comerciante mayorista,No especificado
2,0.95,98.6,30,53,False,False,False,False,False,False,False,Superior no universitaria completa,Mujer,CUSCO,Costa,Gravedad,Venta,Comerciante mayorista,No especificado
1,1.15,10.36,20,57,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,ICA,Selva,Gravedad,Otro,Acopiador,Gravedad
4,79.0,80.46,15,46,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,AMAZONAS,Selva,Secano,Venta,Comerciante mayorista,Secano
3,4.4,100.0,53,40,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Costa,Goteo,Autoconsumo,Comerciante mayorista,Gravedad
3,4.95,68.04,21,36,False,False,True,False,False,False,False,Secundaria completa,Hombre,TUMBES,Sierra,No especificado,Venta,Sin ventas,Secano
1,5.0,50.0,18,41,False,True,False,False,False,False,False,Secundaria completa,Hombre,TUMBES,Costa,Secano,Otro,Acopiador,Gravedad
3,2.5,100.0,20,59,False,False,True,False,False,False,False,Primaria incompleta,Mujer,PIURA,Sierra,Gravedad,Venta,Sin ventas,Gravedad
9,1.25,99.78,12,54,False,False,True,False,False,False,False,Primaria completa,Hombre,CAJAMARCA,Selva,Secano,Venta,Comerciante mayorista,Gravedad
1,63.0,100.0,23,48,False,False,True,False,False,False,False,Primaria completa,Hombre,AMAZONAS,Costa,Goteo,Otro,Acopiador,Secano
1,2.44,80.49,30,62,False,True,False,False,False,False,False,Superior no universitaria incompleta,Hombre,CAJAMARCA,Selva,Gravedad,Venta,Comerciante minorista,Gravedad
4,6.2,100.0,50,33,False,False,False,False,False,False,False,Secundaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Comerciante minorista,Gravedad
2,14.0,94.82,25,68,False,True,False,False,False,False,True,Secundaria completa,Hombre,AMAZONAS,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
8,0.0,100.0,3,56,False,False,True,False,False,False,False,Primaria completa,Hombre,CAJAMARCA,Costa,Gravedad,Venta,Acopiador,No especificado
6,18.0,53.99,17,46,False,False,True,False,False,False,False,Primaria incompleta,Hombre,AYACUCHO,Costa,Secano,Venta,Acopiador,Goteo
2,5.85,100.0,23,52,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,AREQUIPA,Sierra,No especificado,Venta,Sin ventas,Gravedad
3,39.0,0.0,22,53,False,False,True,False,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Costa,Aspersion,Autoconsumo,Comerciante minorista,Gravedad
7,1.95,100.0,25,65,False,False,False,False,False,False,False,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Autoconsumo,Consumidor final,Gravedad
12,5.4,91.47,4,64,False,True,True,False,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Selva,Secano,Autoconsumo,Acopiador,No especificado
2,5.5,91.78,23,49,False,False,False,False,False,False,False,Superior no universitaria incompleta,Hombre,HUANUCO,Selva,Aspersion,Otro,Acopiador,Secano
1,1.0,46.24,30,49,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Costa,Gravedad,Venta,Sin ventas,Secano
3,1.25,52.38,32,57,False,False,False,False,False,False,False,Secundaria completa,Hombre,CUSCO,Selva,Secano,Venta,Sin ventas,Gravedad
3,9.5,57.63,20,64,False,False,True,False,False,False,False,Primaria completa,Hombre,AYACUCHO,Selva,Aspersion,Venta,Sin ventas,Gravedad
2,6.0,0.0,21,80,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Sierra,Goteo,Venta,Comerciante minorista,Aspersion
11,98.0,100.0,40,76,False,False,False,False,False,False,False,Secundaria incompleta,Hombre,APURIMAC,Costa,Secano,Venta,Acopiador,Secano
2,10.25,88.54,10,56,False,False,True,False,False,False,False,Secundaria completa,Hombre,ANCASH,Costa,Secano,Venta,Comerciante mayorista,Secano
1,6.5,100.0,20,76,False,True,True,False,False,False,False,Primaria completa,Hombre,AMAZONAS,Selva,Secano,Autoconsumo,Empresa/Agroindustria,Gravedad
2,1.6,0.0,8,54,False,False,True,False,False,False,False,Primaria incompleta,Hombre,UCAYALI,Selva,Aspersion,Venta,Asociación/Cooperativa,Gravedad
1,5.07,100.0,13,77,False,False,True,False,False,False,True,Secundaria completa,Hombre,PUNO,Sierra,Gravedad,Venta,Sin ventas,Gravedad
1,100.0,99.05,15,68,False,False,True,True,False,False,False,Superior universitaria completa,Hombre,JUNIN,Costa,Gravedad,Otro,Comerciante mayorista,Secano
7,36.0,2.18,40,55,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,PUNO,Costa,Goteo,Otro,Comerciante minorista,Secano
6,15.0,99.49,15,28,False,False,True,False,False,False,True,Secundaria completa,Hombre,ICA,Costa,Gravedad,Venta,Sin ventas,Goteo
3,31.0,0.0,40,53,False,False,True,False,False,False,False,Primaria completa,Hombre,ICA,Selva,No especificado,Venta,Empresa/Agroindustria,Secano
