obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,1,112,0,7,26,false,false,false,false,false,false,false,Secundaria completa,Hombre,AMAZONAS,Selva,Secano,Otro,Sin ventas,Secano
true,2,4.4,99.18,40,48,false,false,true,false,false,false,false,Secundaria completa,Hombre,AMAZONAS,Selva,No especificado,Venta,Comerciante mayorista,No especificado
true,6,13.1,100,15,38,false,false,true,true,false,false,false,Secundaria completa,Hombre,ANCASH,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,4,16.8,98.86,30,51,false,false,false,false,false,false,false,Secundaria completa,Hombre,ANCASH,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,4,4.17,88.01,15,40,false,false,true,false,false,false,false,Primaria incompleta,Hombre,APURIMAC,Sierra,Aspersion,Venta,Acopiador,Aspersion
true,10,4.06,78.86,25,44,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,APURIMAC,Sierra,Gravedad,Venta,Consumidor final,Gravedad
true,11,1.93,5.65,25,52,false,false,false,false,false,false,false,Primaria incompleta,Mujer,APURIMAC,Sierra,Aspersion,Autoconsumo,Consumidor final,Aspersion
true,4,0.77,80,30,54,false,false,false,false,false,false,false,Primaria incompleta,Hombre,APURIMAC,Sierra,Otro,Venta,Consumidor final,Otro
true,4,3.8,40.43,19,39,false,false,false,false,false,false,false,Superior no universitaria completa,Hombre,APURIMAC,Sierra,Goteo,Autoconsumo,Consumidor final,Goteo
true,1,0.8,0,3,26,false,false,false,false,false,false,false,Secundaria incompleta,Mujer,AREQUIPA,Sierra,No especificado,Otro,Sin ventas,No especificado
true,3,5.61,100,30,72,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,AREQUIPA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,2,1.32,100,2,35,false,false,true,true,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,5.5,99.33,20,50,false,false,true,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,1,5.5,100,20,58,false,false,false,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Consumidor final,Goteo
true,5,25,100,6,35,false,false,false,false,false,false,true,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Comerciante mayorista,Goteo
true,2,21,100,12,44,false,false,false,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,7,4.07,95.35,40,68,false,true,true,false,false,false,true,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Venta,Acopiador,Gravedad
true,5,4.64,90.76,15,48,false,false,true,false,false,false,false,Superior universitaria completa,Mujer,AYACUCHO,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,5,15,93.14,15,36,false,true,true,false,false,false,false,Secundaria completa,Hombre,AYACUCHO,Sierra,Aspersion,Venta,Comerciante mayorista,Aspersion
false,1,5,99.67,12,33,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Selva,Gravedad,Venta,Acopiador,Gravedad
true,2,2.6,50.82,20,42,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,CAJAMARCA,Selva,Secano,Venta,Comerciante mayorista,Secano
false,2,90,0,25,49,false,true,false,false,false,false,false,Primaria completa,Hombre,CAJAMARCA,Selva,Secano,Otro,Sin ventas,Secano
true,1,2.5,47.06,40,75,false,false,true,false,false,false,false,Primaria incompleta,Hombre,CAJAMARCA,Sierra,Secano,Venta,Acopiador,Secano
true,2,0.85,83.48,20,41,false,false,true,false,false,false,false,Secundaria completa,Hombre,CAJAMARCA,Selva,Secano,Venta,Comerciante minorista,Secano
