numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str,Real Label (Invented),Predicted Label,Prediction Probability (Si)
2,6.0,77.36,35,43,False,False,True,False,False,False,False,Superior no universitaria completa,Hombre,PASCO,Selva,Secano,Venta,Sin ventas,Secano,Si,Si,0.9064587
7,2.45,15.04,30,50,False,False,True,False,False,False,False,Secundaria completa,Hombre,HUANUCO,Selva,Secano,Venta,Consumidor final,Gravedad,Si,Si,0.9054125
3,1.5,0.0,26,34,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,TACNA,Costa,No especificado,Venta,Comerciante mayorista,No especificado,Si,Si,0.90498954
2,0.95,98.6,30,53,False,False,False,False,False,False,False,Superior no universitaria completa,Mujer,CUSCO,Costa,Gravedad,Venta,Comerciante mayorista,No especificado,Si,Si,0.8971868
1,1.15,10.36,20,57,False,False,True,False,False,False,False,Secundaria incompleta,Hombre,ICA,Selva,Gravedad,Otro,Acopiador,Gravedad,Si,Si,0.905101
4,79.0,80.46,15,46,False,False,True,False,False,False,False,Superior universitaria completa,Hombre,AMAZONAS,Selva,Secano,Venta,Comerciante mayorista,Secano,Si,Si,0.91020185
3,4.4,100.0,53,40,False,False,False,False,False,False,False,Superior universitaria completa,Hombre,PIURA,Costa,Goteo,Autoconsumo,Comerciante mayorista,Gravedad,Si,Si,0.90451413
3,4.95,68.04,21,36,False,False,True,False,False,False,False,Secundaria completa,Hombre,TUMBES,Sierra,No especificado,Venta,Sin ventas,Secano,Si,Si,0.9066965
1,5.0,50.0,18,41,False,True,False,False,False,False,False,Secundaria completa,Hombre,TUMBES,Costa,Secano,Otro,Acopiador,Gravedad,No,Si,0.8966423
3,2.5,100.0,20,59,False,False,True,False,False,False,False,Primaria incompleta,Mujer,PIURA,Sierra,Gravedad,Venta,Sin ventas,Gravedad,Si,Si,0.91389763
9,1.25,99.78,12,54,False,False,True,False,False,False,False,Primaria completa,Hombre,CAJAMARCA,Selva,Secano,Venta,Comerciante mayorista,Gravedad,Si,Si,0.9100047
1,63.0,100.0,23,48,False,False,True,False,False,False,False,Primaria completa,Hombre,AMAZONAS,Costa,Goteo,Otro,Acopiador,Secano,No,Si,0.9199324
1,2.44,80.49,30,62,False,True,False,False,False,False,False,Superior no universitaria incompleta,Hombre,CAJAMARCA,Selva,Gravedad,Venta,Comerciante minorista,Gravedad,Si,Si,0.89537174
4,6.2,100.0,50,33,False,False,False,False,False,False,False,Secundaria incompleta,Hombre,PIURA,Costa,Gravedad,Venta,Comerciante minorista,Gravedad,Si,Si,0.90376884
2,14.0,94.82,25,68,False,True,False,False,False,False,True,Secundaria completa,Hombre,AMAZONAS,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad,Si,Si,0.87815005
8,0.0,100.0,3,56,False,False,True,False,False,False,False,Primaria completa,Hombre,CAJAMARCA,Costa,Gravedad,Venta,Acopiador,No especificado,Si,Si,0.9216718
6,18.0,53.99,17,46,False,False,True,False,False,False,False,Primaria incompleta,Hombre,AYACUCHO,Costa,Secano,Venta,Acopiador,Goteo,Si,Si,0.9128522
2,5.85,100.0,23,52,False,True,True,False,False,False,False,Secundaria incompleta,Hombre,AREQUIPA,Sierra,No especificado,Venta,Sin ventas,Gravedad,Si,Si,0.9135475
3,39.0,0.0,22,53,False,False,True,False,False,False,False,Secundaria completa,Hombre,LAMBAYEQUE,Costa,Aspersion,Autoconsumo,Comerciante minorista,Gravedad,Si,Si,0.9172993
7,1.95,100.0,25,65,False,False,False,False,False,False,False,Secundaria completa,Hombre,AYACUCHO,Sierra,Gravedad,Autoconsumo,Consumidor final,Gravedad,Si,Si,0.8717589
